job_title,paylab_category,min_salary_lkr,avg_salary_lkr,max_salary_lkr,description,source
DevOps Engineer,Information Technology,132828,466213,799598,"Design, implement, and maintain scalable infrastructure and deployment pipelines. Collaborate with software developers to streamline application development and deployment processes. Monitor system performance and troubleshoot issues to ensure high availability and reliability.",paylab.com
Software Engineer,Information Technology,122816,349982,577148,"Using computer and mathematical knowledge in designing, developing, and testing software. Analysing customer requirements and proposing technical solutions. Creating and maintaining technical documentation.",paylab.com
Lead developer,Information Technology,106619,271786,436953,"Working closely with senior stakeholders to understand business  requirements and help translate these into technical requirements for the development team Planning and documenting technical specifications for features or system design Designing, building and configuring applications to meet business process and application requirements",paylab.com
Finance Manager,Management,91295,252343,413391,"Managing, coordinating, motivating, and assessing subordinate employees. Ensuring strategic financial planning. Preparing and processing of financial statements of the company.",paylab.com
Cloud Engineer,Information Technology,71650,251215,430780,Being responsible for the design and implementation of cloud services running on cloud infrastructure. Being responsible for the reliability and security of cloud infrastructure and services. Researching and identifying ways to increase the performance and stability of applications running on cloud infrastructure using continuous improvement and automation.,paylab.com
IT Architect,Information Technology,99137,226283,353430,Analysing the customer requirements. Designing the technical architecture of information systems according to the created specification. Defining the property price and return on investments.,paylab.com
Systems Engineer,Information Technology,90788,223422,356056,Communicating with clients in order to become familiar with their requirements concerning the computer system. Designing computer systems. Communicating with hardware and software vendors.,paylab.com
Sales Manager,Management,59908,212321,364735,"Leading a team of sales representatives with the goal of securing their development, coaching, motivation, and continuous growth. Actively seek out and contact important customers. Develop and close large sales opportunities.",paylab.com
Head of product development,Management,82333,210026,337720,"Define and drive the product development strategy aligned with the company's overall goals and market trends. Lead and mentor a diverse team of product managers, designers, engineers, and other specialists to ensure collaboration, creativity, and efficient project execution. Foster a culture of innovation by encouraging the generation of new product ideas, features, and improvements based on customer feedback and industry insights.",paylab.com
IT Project Manager,Information Technology,83659,198643,313628,"Preparing, coordinating and evaluating assigned projects. Responsibility for delivering the project within the agreed time, quality and price. Communicating with clients via phone and e-mail, attending personal meetings.",paylab.com
Marketing Manager,Management,57520,198533,339546,"Development of short-time and long-time marketing strategy. Strengthening the awareness and position of the brand on the market. Analysing the market, monitoring trends and activities of competitors.",paylab.com
IT Business Analyst,Information Technology,67971,198084,328197,"Collection, discussion and analysis of requirements for new solutions and system improvements in close partnership with older colleagues and business partners Active communication with stakeholders Transfer of captured requirements to system specifications and their documentation",paylab.com
IC Design Engineer,Information Technology,79847,192253,304659,Designing and developing integrated circuits (ICs) for various applications. Collaborating with cross-functional teams to define design specifications and requirements. Utilizing industry-standard design tools and methodologies for IC design and verification.,paylab.com
IT Manager,Management,67730,189676,311622,"Responsibility for the activities of the entire IT department within the company. Participating in defining the IT strategy, policies and procedures of the company. Planning the budget of the department, monitoring and approving expenditures.",paylab.com
User Experience Expert,Information Technology,63902,184435,304968,"Conducting and interpreting user research (interviews, testing, data analysis). Creating UX strategies and recommendations for product development. Evaluating existing solutions (UX audit, heuristic analysis).",paylab.com
Head of the Legal Department,Management,68490,183891,299292,"Managing, leading, motivating and evaluating subordinate staff. Providing legal support, analyses and consulting to the company management. Drafting, commenting and editing contracts.",paylab.com
Doctor,Medicine Social Care,95692,182219,268747,"Diagnosing acute and chronic illnesses within general medicine with subsequent therapy and recommendations for therapy and diagnostic procedures. Close co-operation with other specialist doctors. Collecting samples for haematology and biochemical tests, swabs for cultivation.",paylab.com
IT Product Manager,Information Technology,66798,181287,295776,"Analysing the client's current situation, defining the clients's needs, ascertaining requirements for the system or the application, defining the client's priorities, recognising possible obstacles. Communicating with the client on a regular basis. Processing requirements, analysing and creating the use case for programmers.",paylab.com
Senior Project Manager,Management,68070,178355,288641,"Self-reliant management of costly medium to large-scale projects. Assigning work and coordinating individual project team members. Checking compliance with the set budget, deadlines, and quality of the works.",paylab.com
